,rad,rad_err
640.0,0.9367575529979946,4.950923854077994e-05
680.0,0.9265995587092725,5.182133059739614e-08
720.0,0.9320183467495775,1.5508522199696416e-05
760.0,0.8583797270394697,5.9825139094001654e-05
800.0,0.8542005722163405,5.462118768533873e-06
840.0,1.0131203810742664,1.4159763039044233e-05
860.0,1.1686724276026044,5.4848248541928514e-05
880.0,1.2954513785934205,9.660025883795867e-05
900.0,1.159435137276441,3.771432961102755e-05
920.0,1.0426853357706773,1.1067198931699658e-05
936.0,0.9471840761147795,7.419380515068617e-05
950.0,0.9239104405811435,5.480598770278647e-05
970.0,0.8845255417969445,6.29483284717691e-05
980.0,0.8824789010959851,7.321411041991096e-05
990.0,0.8929022124357129,2.998853386030588e-08
