,mu,s,c,N,mu_err,s_err,c_err,N_err,eff0,eff0_err
640.0,0.04912058147717807,0.010843148413844816,0.02682565968988615,0.2953884229645802,0.0011747219958294086,0.0007926466251475528,0.004311618690052255,0.009213107213077332,0.3001622118232919,0.009935498472226023
680.0,0.05904960132369086,0.01513600748026922,0.022054660540605786,0.29852038170476847,0.0018493850938909595,0.0010742449745637928,0.004165176835752904,0.01100567081788062,0.2991887605154407,0.01138815023445483
720.0,0.06804731465219643,0.016458595366368955,0.029450874546874006,0.28539915321968035,0.0019562958060403424,0.001518056211654295,0.004447728426513392,0.010436547788613082,0.2893067822768537,0.010654061248799862
760.0,0.07120099863687707,0.023667279634563387,0.01842272721744781,0.31419295363965266,0.003242485634403214,0.0018295697344879736,0.00379453768214974,0.01482047332809519,0.3051993595201332,0.014282426789952951
800.0,0.07007462671177456,0.02962970443091245,0.016283911393409845,0.35161407329738126,0.004990397951142034,0.0022505002898060844,0.003640791890210021,0.021983709959577408,0.3271431587853341,0.021507112358796765
840.0,0.09486662813554625,0.024897333994375714,0.024068234536062105,0.28248907591014705,0.003253717394694766,0.0018459834425920418,0.0038597990928579406,0.01130956757665405,0.28316891306525305,0.011528592125909953
860.0,0.08929882531946598,0.028838034100359067,0.021179416413287966,0.2885302492521956,0.004407541307309831,0.002567752714372734,0.0038127765961100124,0.014885726301451685,0.2821624493509269,0.014222112195660164
880.0,0.09692826706583246,0.026853031113395875,0.02456607324196136,0.2810207379320076,0.0038453642285903034,0.002358501609786401,0.0037519234000158164,0.012617443727528543,0.28051941907003136,0.012397249934379184
900.0,0.09462310316337835,0.03193906789428236,0.021133466373405463,0.2930481203037819,0.004886552861082721,0.002610768139638342,0.0036809672561785856,0.015391273518397752,0.284839758677235,0.014862232800487818
920.0,0.09974359272950784,0.030409224715305216,0.0255536584902763,0.2851522655514734,0.004326860073578964,0.002771002714941795,0.0038576805056313723,0.013587144529654205,0.28209870599526465,0.012991787486313855
936.0,0.09772232997766478,0.032415411633753166,0.02225372061895775,0.29842407083495615,0.0053215621149926284,0.00287333729547698,0.0036215632108621,0.016448717893077863,0.29110879493945685,0.01579853350852567
950.0,0.10423596216932346,0.03236216729543934,0.023489669822653214,0.2791331509494618,0.005209537423891936,0.0028748243877535218,0.0037398163968410114,0.014676955734186231,0.27497509141915866,0.014242279537461155
960.0,0.10133952585191736,0.03281304517515732,0.02057398728146992,0.3009086754730724,0.005208667870365613,0.002697726868075595,0.003309351915577574,0.015835323303876436,0.2939833646994881,0.015310074470090085
970.0,0.09500230630753054,0.040147766461942014,0.018777820341431495,0.3090917406159127,0.007428359237914239,0.003482883841238016,0.0036126892675366895,0.021253243561051377,0.28838266539634994,0.020536109985479056
980.0,0.10183606459172312,0.03777139107963551,0.019231583187073797,0.29567406601523477,0.0068442783154608056,0.0029733960483618593,0.0034849737797537916,0.018658362445944765,0.2826728846125985,0.01839109797646865
990.0,0.0974613357729523,0.03893336119740798,0.020763265996970204,0.3179803813418953,0.006753765831991415,0.003323620827082263,0.0035382378575270212,0.02011448792819384,0.3005344264927383,0.01931724225178688
