,TF,CF,TC,effT,effC,effT_err,effC_err,eff_trig,eff_trig_err
640.0,84,2.0,31,0.9142857142857143,0.27350427350427353,0.046656947481585415,0.041035297525957054,0.9377289377289377,0.03407807565107247
680.0,69,3.0,30,0.8857142857142857,0.3069306930693069,0.05302632726504791,0.04566762301002013,0.9207920792079207,0.03711966744764958
720.0,42,2.0,21,0.88,0.3384615384615385,0.06373020054525523,0.05824521380307954,0.9206153846153846,0.042735417223868644
760.0,63,2.0,43,0.9361702127659575,0.4074074074074074,0.035283242450588274,0.047062968924718576,0.9621749408983452,0.02112328546977366
800.0,100,1.0,65,0.9705882352941176,0.39520958083832336,0.020340119847300726,0.037719119192923437,0.9822120464952449,0.012351432128506694
840.0,85,3.0,67,0.9444444444444444,0.44155844155844154,0.026809611801841805,0.03988569023426834,0.9689754689754689,0.015134693114052413
860.0,32,2.0,23,0.8888888888888888,0.42105263157894735,0.05939138709164986,0.06482965916330968,0.935672514619883,0.03513090419987976
880.0,15,0.0,13,0.9333333333333333,0.4666666666666667,0.06236095644623189,0.08960286733763283,0.9644444444444444,0.03379135739103915
900.0,4,0.0,6,0.875,0.5833333333333334,0.11023963796102466,0.13673544235706092,0.9479166666666666,0.049010114612016584
920.0,4,0.0,9,0.9090909090909091,0.6666666666666666,0.08298826628866228,0.11785113019775795,0.9696969696969697,0.029665000314320265
936.0,12,0.0,3,0.8,0.23529411764705882,0.16329931618554472,0.09998077477632912,0.8470588235294119,0.12646678820860432
950.0,3,2.0,9,0.7692307692307693,0.7142857142857143,0.11260385457098432,0.11664236870396093,0.9340659340659341,0.04194784683167149
970.0,10,0.0,11,0.9230769230769231,0.5217391304347826,0.07121693075173346,0.10196555999616146,0.9632107023411371,0.03495171871090316
980.0,6,0.0,7,0.8888888888888888,0.5333333333333333,0.0993807989999911,0.12472191289246468,0.9481481481481481,0.04840387926727291
990.0,3,0.0,9,0.9090909090909091,0.7142857142857143,0.08298826628866228,0.11664236870396093,0.974025974025974,0.025974025974026173
