,mu,s,c,N,mu_err,s_err,c_err,N_err,eff0,eff0_err
640.0,0.04972120825190479,0.010233661412326844,0.023380768060062507,0.3700356662960921,0.0009026898180463094,0.0006387809308721071,0.0034130055907015955,0.00905533691658561,0.37583751333348964,0.009842244011527057
680.0,0.05639500078063636,0.016077569261519487,0.015956544625968738,0.40164424269658683,0.001713795965936571,0.0009450160766261151,0.0032068301281366896,0.013358080774259845,0.3963674817209843,0.013360641968149789
720.0,0.06717767453889312,0.01760808467345515,0.023190456115909253,0.3699665452091483,0.0017934250312275635,0.001327510564129858,0.0035795769128167954,0.011961722846431738,0.37057008008127085,0.01183526027550269
760.0,0.07088684783341703,0.02415894670551355,0.01466044220264584,0.3924887308437345,0.002862035870583979,0.0016100794410028874,0.0030717157048572585,0.016088949516519013,0.3784263234468423,0.015305165918601704
800.0,0.06679201649435229,0.0305108743028063,0.011429980408723062,0.4729684002774207,0.004291545361684329,0.0018281470609626815,0.002652315783726711,0.025200002573185054,0.4307315429517456,0.02467344541465838
840.0,0.10265625180527804,0.024312426391885744,0.019463832910832257,0.33703892915827166,0.0027885239302324893,0.001440452410194637,0.003165441594848273,0.010817830953287588,0.3387281737762635,0.01129855023526083
860.0,0.08924671871461842,0.02865677485204543,0.016661618063151473,0.3635948763638857,0.0037516212464383525,0.002107172994229106,0.002920266376677444,0.015819800556624075,0.35419293066335594,0.015046899385626977
880.0,0.09940934987085448,0.026719084505103907,0.02124067907022209,0.3402276737550649,0.003395686470607978,0.002129913685102125,0.0031322183920771407,0.013175699217844256,0.33940857876424135,0.012869537454025526
900.0,0.09204535778065781,0.03377191697309151,0.016833728409428705,0.3772673242238866,0.004892180584595368,0.002479409185952741,0.0030168270971414612,0.019089199120102235,0.36042173539345224,0.018228725146483493
920.0,0.10056061556503137,0.029722098474394443,0.02100132406395644,0.3640125434120369,0.003558073026648345,0.0022001062777893265,0.002954018163943889,0.014179918842865846,0.3597105746603815,0.013582184722851942
936.0,0.09384949431031692,0.03704698084545621,0.01606897579093719,0.38462070017121375,0.005790956954874388,0.0028000226231089664,0.0029660208380632713,0.021549251100443284,0.3625086804367326,0.020597791608124305
950.0,0.10154630218200261,0.03439641426832368,0.01826757731404144,0.3532400340840147,0.005152976821657079,0.002616755062118198,0.0030087808054131415,0.017684197725351902,0.3421612247098999,0.016990932334801423
960.0,0.09905265800540036,0.03473020705802715,0.015748191289872426,0.3888331933010879,0.005013342918327113,0.0023495810976194575,0.002582251301087163,0.018927175582423877,0.37373608184978707,0.018267932258553832
970.0,0.10117266849197681,0.04362857207799714,0.014343710772428353,0.3623106809020044,0.006884084997035883,0.0029505679941617124,0.0030632635831956134,0.021465025506346824,0.33505710084636503,0.02105410694426174
980.0,0.10859496667493601,0.0359147623550819,0.016714093170842825,0.3426298431596001,0.005727329957837368,0.002511972760315756,0.002885988640988185,0.017692079982507686,0.332469799150972,0.017415488102145826
990.0,0.09191835618379085,0.0402934828717425,0.016135004327335778,0.4195480681721611,0.00648775533378787,0.0030192481548213246,0.0027414011775765135,0.02517456310791072,0.3874294911810508,0.024119939030073367
