,TF,CF,TC,effT,effC,effT_err,effC_err,eff_trig,eff_trig_err
641.0,123,10.0,296,0.9642857142857143,0.7054631828978623,0.010557099408895815,0.022189665012105005,0.989480827960638,0.0032088540496747467
650.0,21,4.0,88,0.9468085106382979,0.8018018018018018,0.023024507497148256,0.03766815541546142,0.989457542649032,0.004983901982821886
675.0,39,2.0,73,0.961038961038961,0.6491228070175439,0.02190980239706509,0.04450328648608574,0.9863294600136705,0.007880758297068692
700.0,18,2.0,46,0.94,0.7121212121212122,0.03325480947082961,0.0553151879723936,0.9827272727272727,0.010132338501487419
725.0,22,1.0,68,0.971830985915493,0.75,0.019499117049101577,0.044901325506694324,0.9929577464788732,0.005036194778283279
750.0,30,1.0,100,0.9805825242718447,0.7651515151515151,0.013530747522027275,0.036757145897537466,0.9954398352456605,0.003256844155435128
775.0,29,3.0,130,0.9703703703703703,0.8136645962732919,0.014539933519362676,0.03059235370504183,0.9944789510006902,0.0028569151036730847
800.0,69,1.0,222,0.9911111111111112,0.7610921501706485,0.006243537027672599,0.024869105572385163,0.9978763746681836,0.0015079214278703225
825.0,66,1.0,228,0.9913419913419913,0.7736486486486487,0.0060824250580440485,0.02428204204692986,0.998040248040248,0.0013927241710120736
840.0,21,0.0,67,0.9855072463768116,0.7555555555555555,0.014284213921869975,0.04505080868207261,0.9964573268921095,0.0035522159170075997
850.0,36,1.0,53,0.9642857142857143,0.5934065934065934,0.02458025720041561,0.05121090325355878,0.9854788069073783,0.010160144777687986
860.0,23,0.0,35,0.972972972972973,0.6,0.026306176399580546,0.06272500481871787,0.9891891891891892,0.01065815783394894
870.0,16,1.0,26,0.9310344827586207,0.6136363636363636,0.04626347539654816,0.07258508828486965,0.9733542319749217,0.018562255928412538
880.0,12,1.0,24,0.9259259259259259,0.6578947368421053,0.04949282257637411,0.07596714068284477,0.9746588693957116,0.017842355810889894
890.0,6,0.0,12,0.9285714285714286,0.65,0.0664963811608046,0.10408329997330625,0.975,0.0244323305378387
900.0,5,0.0,4,0.8333333333333334,0.45454545454545453,0.1408590424547525,0.1437398936440173,0.9090909090909092,0.08048048676440768
910.0,7,0.0,8,0.9,0.5294117647058824,0.09045340337332908,0.11764705882352937,0.9529411764705883,0.044162187854679305
920.0,5,0.0,18,0.95,0.76,0.04755948656056747,0.08375789285425306,0.988,0.012158296583986497
930.0,10,1.0,15,0.8888888888888888,0.5925925925925926,0.07209840939145001,0.09285676600414977,0.9547325102880658,0.031132736487277365
936.0,9,1.0,7,0.8,0.4444444444444444,0.12060453783110492,0.11399759467612823,0.888888888888889,0.07077539040053986
937.5,4,0.0,14,0.9375,0.75,0.058708527289232544,0.09449111825230663,0.984375,0.015820727880608627
938.3,14,2.0,20,0.875,0.5833333333333334,0.0661437827766149,0.08104979376327254,0.9479166666666666,0.029363077415613597
938.9,10,2.0,23,0.8888888888888888,0.6857142857142857,0.05939138709164986,0.07737179432986592,0.9650793650793651,0.020550440475242827
939.6,5,1.0,23,0.9230769230769231,0.8,0.05128205128204961,0.07184212081070897,0.9846153846153847,0.011650499164042021
940.2,11,2.0,23,0.8888888888888888,0.6666666666666666,0.05939138709164986,0.07749842582921306,0.9629629629629629,0.021588759578739458
940.8,9,1.0,10,0.8461538461538461,0.5238095238095238,0.09642818008123202,0.10647942749998987,0.9267399267399268,0.048752756457779614
942.0,10,1.0,16,0.8947368421052632,0.6071428571428571,0.06862318321265896,0.09069091277962905,0.9586466165413534,0.028599431237336895
950.0,7,0.0,16,0.9444444444444444,0.68,0.05255029460705136,0.09148349998349803,0.9822222222222222,0.01756735568618602
960.0,15,0.0,20,0.9545454545454546,0.5675675675675675,0.04343332208663014,0.08036669639730032,0.9803439803439804,0.01913393071874356
971.0,11,0.0,15,0.9411764705882353,0.5714285714285714,0.05545935538717951,0.09189536012895387,0.9747899159663865,0.024375242938061828
981.0,9,0.0,27,0.9655172413793104,0.7368421052631579,0.03331350976135338,0.07051201337443007,0.9909255898366607,0.009097648127542289
990.0,13,0.0,22,0.9583333333333334,0.6216216216216216,0.03996526269427162,0.07867457643826402,0.9842342342342343,0.015473222300964895
