,rad,rad_err
641.0,0.9530614269645878,3.122470222405124e-05
650.0,0.9860134842132682,3.9525305329919536e-05
675.0,0.9763130961790469,1.7749299724869217e-05
700.0,1.0312935163592225,6.444458081259603e-06
725.0,0.9386856623575004,2.221091208372606e-06
750.0,0.9059101286784911,3.706371177530222e-08
775.0,0.878359094762782,3.0039478619244926e-05
800.0,0.8712002937816677,2.8833108199050766e-05
825.0,0.9214607351756414,8.264996322257883e-05
840.0,1.0085243843696226,7.497426813707361e-05
850.0,1.1280060118332107,0.00010833243482647221
860.0,1.2064433688928868,8.20062651563701e-05
870.0,1.3620810929910947,1.1699900527757855e-05
880.0,1.4515060409988816,1.4119674550306472e-09
890.0,1.5210564814222864,3.1214208474129035e-05
900.0,1.3265018426841066,6.3990188355982025e-09
910.0,1.3379004738582108,1.9354814968101312e-08
920.0,1.2086758026790712,0.00010375957676688411
930.0,1.096526031544201,2.1201301537784965e-05
936.0,1.1061646063070405,6.027321753395068e-05
938.3,1.0847825365067774,2.0897374644901084e-05
938.9,1.0879929569600126,6.158649383027354e-05
939.6,1.0539371391429737,1.1440512600888365e-07
940.8,1.0527242417324296,7.02857119276054e-05
942.0,1.0622392301079955,1.0148291210805754e-05
950.0,1.0434244511886737,5.2471159267670924e-05
960.0,1.0303342422468418,4.2789574965015174e-05
971.0,0.9928015894280658,2.1793659526200163e-05
981.0,0.9887279497287206,7.67844681432523e-06
990.0,0.9741722168178576,7.610408535427607e-05
