,mu,s,c,N,mu_err,s_err,c_err,N_err,eff0,eff0_err
641.0,0.04693354899522956,0.01375386677923257,0.016560225145455076,0.3346496817245759,0.001645206724032261,0.0009382035534341859,0.004098571849675464,0.013006608284068494,0.3295127166359386,0.013036012225807803
650.0,0.05297050919472468,0.012316282917540389,0.02532099509124275,0.30758703228623774,0.0013056420899725807,0.0008553689790604946,0.004429590336514355,0.009679945689688552,0.31126125925555176,0.010376520618547935
675.0,0.056629920593497474,0.015992357539301227,0.021271704009566406,0.3210369959121642,0.0018989779220434655,0.001106901947872635,0.004234327361962664,0.01221884634493231,0.3188236016013628,0.012405496282018591
700.0,0.06080967302973167,0.018043105717186925,0.023068126007039613,0.3142397960322366,0.002339945226964679,0.0013862856880997587,0.004402579886225416,0.013376387196484485,0.31104387242484133,0.013345747928117213
725.0,0.0666728805581625,0.020474160306013733,0.018750578679313623,0.3198288010602488,0.002624617252869166,0.001505417005361026,0.0038614633193338743,0.013599677626965928,0.31396135806278896,0.013342526997889737
750.0,0.07452063288580124,0.016886994395857946,0.025344433387127385,0.29454264729713214,0.0020252301589156474,0.0013633092465132335,0.0036948085202931358,0.010139408821044193,0.2984805645597605,0.010522157721402414
775.0,0.07925160974251516,0.022999589231697648,0.01962194529410438,0.3143712833793714,0.0029201012414454275,0.001675968260805183,0.0036286511590298276,0.01281489847658046,0.31082740666972414,0.01266065895530788
800.0,0.0782827447386264,0.026042528363766637,0.020858700931074226,0.3127920329645879,0.00383613895939805,0.001991271211782192,0.003827399048901281,0.015569174914419753,0.30456599745256024,0.01524507120037727
825.0,0.08309019564933723,0.02369861793443867,0.024690352429621032,0.30159975035109754,0.003231865770655873,0.002027004218761508,0.0036558841668865583,0.013120165475356493,0.3002581593515634,0.012771830761421077
840.0,0.07830814748435677,0.03146765038881599,0.019155823421305673,0.3269833126442791,0.005162231681131946,0.002461962834654191,0.0037986249323777865,0.01968454010607429,0.30817834915483283,0.019163345092848116
850.0,0.0892954952835548,0.027192296204150646,0.023578060592713113,0.29038650419049816,0.0038407615331603195,0.002385441013662837,0.0038931341793908836,0.013649799324834122,0.28674179074908573,0.013139890583397262
860.0,0.07865010673840467,0.033584065822921616,0.020729689835636833,0.31738671277947306,0.0062306391515606074,0.0029441830956329906,0.004104531679986423,0.02196642650218661,0.29612717813661654,0.02139037704493596
870.0,0.09656745862476601,0.02583549741319513,0.02404259152584387,0.27627857658674304,0.0034460073304957983,0.002017555137987792,0.0037523933806116183,0.011523785188388258,0.27649665195445144,0.01158130107698313
880.0,0.0945800498467137,0.027422194711051895,0.027504551113342823,0.27319550296904993,0.003955156465691417,0.002514152250098073,0.004088363052787952,0.012807146249972007,0.2722958252660867,0.012485205939836042
890.0,0.10326904730209746,0.026505518755513546,0.029177085431015104,0.25450682625881305,0.003862798546071411,0.002428870571142494,0.004282581061171659,0.01127678834752463,0.25686392980237066,0.011416264602169823
