elabel       emeas 
640_14606    638.530029
680_14880    678.270020
720_15027    717.460022
760_15149    757.299988
800_15287    797.500000
840_15368    837.054016
860_15464    857.921997
880_15554    878.859985
900_15630    899.010010
920_15717    920.023010
936_15839    937.137024
950_15942    951.599976
970_16068    972.440002
980_16189    983.500000
990_16304    994.244995 
960_16492    962.395020
