elabel       emeas 
850_37860    846.807129
860_38526    857.227905
870_38763    867.151001
880_39042    876.969177
890_39498    889.079102
900_39896    899.529724
910_40184    909.715393
920_40369    919.959229
930_40552    930.482605
936_40770    935.472778
942_41812    941.878174
950_42150    950.353577
960_42406    960.631287
971_42651    971.236816
981_42875    981.957275
990_43038    991.237915
940.2_43643  940.204102
938.9_43659  938.750916
939.6_44030  939.463196
940.2_44259  940.204102
938.3_44474  938.176819
940.8_44932  940.562622
937.5_45155  937.124207
840_45356    839.471375
825_45497    825.047913
800_45640    800.858704
775_45761    774.851074
750_45870    749.551086
725_46004    724.939209
700_46199    700.562195
675_46343    674.852722
650_46555    649.772095
641_46812    641.018494
1003.5_43198 1003.312012
