,n_sig_exp,n_bkg_exp,m_exp,sL_exp,sR_exp,aL_exp,aR_exp,k_exp,n_sig_exp_err,n_bkg_exp_err,m_exp_err,sL_exp_err,sR_exp_err,aL_exp_err,aR_exp_err,k_exp_err,n_sig_mc,m_mc,sL_mc,sR_mc,aL_mc,aR_mc,n_sig_mc_err,m_mc_err,sL_mc_err,sR_mc_err,aL_mc_err,aR_mc_err,emeas
935.0,91.35211422215936,179.64793486580322,-0.5282465640775382,1.7818788311773415,1.3238397866880145,0.10475706692867806,0.2520798599872716,0.007588306617557494,18.75463679965462,19.982517651193803,0.2957988148407474,1.227429836292155,1.4587888235385091,0.025616699250943446,0.056562953849927586,0.006225869570422038,447.9355245526116,0.16288733078148887,2.5791619432388977,2.25946396872862,0.09749173887731222,0.21134233203026376,15.273092437345667,0.3558127456622442,0.2657610374366679,0.3118747277513795,0.005837574984353666,0.013579175986036529,934.7481079101562
945.0,79.87477495672569,85.12523367735159,0.733879169783108,2.275196266802633,2.920782801960339,0.08086335762199771,0.18747859138792056,0.009646908668153875,10.501886509297726,10.625609678903288,1.256030531414179,0.6949344645354205,0.19523965555399925,0.023827366828970686,0.010230667537290059,0.008918838252252592,550.9399878480934,0.1972163891689318,2.720382824080489,2.2926545040104354,0.09619078427321237,0.15957324870170098,17.146672376491438,0.22130632135520978,0.19016016499502642,0.20937609931664003,0.005109142217077922,0.009301780895416556,945.4361572265625
950.0,133.3522095023204,138.6478126092186,1.3653176330197463,3.3087280691980183,2.7274964452750607,0.07568547003806558,0.1802967271296746,0.010680090344443727,12.99323713901142,13.094700513582268,0.5181121874571636,1.1569932853365903,1.0325513728627127,0.02188621030865963,0.0382384646264123,0.00717223294661562,555.0118223312882,0.8225863648468392,2.7301466467643714,2.003092485350011,0.09005870024589413,0.15344385151384698,16.955639682987226,0.28891247522501295,0.21268821082020462,0.2414679892660031,0.0047910767861916725,0.008950958554007071,950.266357421875
960.0,133.058235227081,212.94322783457108,0.06308630700269661,2.980203552956481,2.8646058881169996,0.06969713150285667,0.15321093137997951,0.004875767690758481,26.182148220893858,26.926366757981683,1.1582926274207248,0.38648832862755333,1.0392458690412048,0.024944199125661475,0.030489728500686167,0.008600648076267925,709.8781702859839,0.8998184559162583,3.192635862212737,2.381171787472484,0.08325743898499716,0.1358870290907621,18.83820823923071,0.2789107339341812,0.20081469501803006,0.22646934929142226,0.004520104659556934,0.008374499563346127,960.2505493164062
970.0,101.94918638366562,192.05090733769617,1.024389256606394,2.0954256266904685,2.0917102905198806,0.08825792656224814,0.15847727615610485,0.03413593931067438,11.12241788178212,12.989489581593034,1.51084143857789,0.7041778042676872,0.19200577788970374,0.020825044161246566,0.02766092949611204,0.01212655516498462,766.9942740400907,0.2654877227104855,2.6260407179835044,2.8213626753638836,0.10039305504497886,0.1310034364927959,19.737854499706316,0.2529671779702616,0.1768716993294812,0.24321746183905746,0.0040450428366684,0.0091579592845073,970.6376342773438
