,TF,CF,TC,effT,effC,effT_err,effC_err,eff_trig,eff_trig_err
935.0,77,5,187,0.9690721649484536,0.706766917293233,0.012397539886350563,0.02786050336254597,0.9909309355863887,0.0037360906382379227
945.0,40,4,121,0.9606299212598425,0.7484662576687117,0.01718922165017443,0.03388147551284439,0.9900970967586107,0.004524759510810839
950.0,64,4,203,0.9760765550239234,0.758364312267658,0.010544940957308738,0.0260517918731464,0.9942192419202789,0.0026231500913324497
960.0,84,6,255,0.973384030418251,0.750733137829912,0.009906295776107566,0.023391712282154496,0.9933655207787428,0.0025465899334377756
970.0,66,3,225,0.9826086956521739,0.7713310580204779,0.008601028550419876,0.024493471082967185,0.9960231488351388,0.002012388821968316
