,mu,s,c,N,mu_err,s_err,c_err,N_err,eff0,eff0_err
537.5,0.020944809072119097,0.0031510790092391106,0.026312557987575758,0.27191814562729305,0.0003065390840469029,0.00022620432046932537,0.007220275884265576,0.0065686540840151075,0.27872049364171064,0.008590441200003962
550.0,0.02524307630988193,0.004488773986146111,0.019883612735712597,0.266896281783106,0.0004634634311841135,0.00032617095752526803,0.006582400382518477,0.007372536401772295,0.2712426875274082,0.008974427462017653
550.1,0.025371026483288484,0.004471742788229094,0.025659065331721964,0.2547880375726662,0.00047878358207148475,0.0003444852117145125,0.007269129490143883,0.007300803490580959,0.2604533678079428,0.00904809005959023
562.5,0.027983059721172043,0.005507025351087269,0.026540362438456533,0.2895727900071844,0.0005548718007555298,0.00040172637418001145,0.005733319235281087,0.00816113540854943,0.2954705533687876,0.009512793468701708
575.0,0.03331016761002137,0.006288873843071419,0.021678292944805944,0.2824975853560978,0.0006437219528287463,0.0004329414840344714,0.005073536582624494,0.007738504833957743,0.287213901890287,0.008940543296486358
587.5,0.0353174816629554,0.007331478087262033,0.022690982399114212,0.3049619909995426,0.0007498840784150862,0.0005123752123006586,0.004602846520863985,0.008733337181070527,0.3094348074888884,0.009694970335815623
600.0,0.03719151346356775,0.008983166557321176,0.021266690510830855,0.31166474567922187,0.0010160789205545806,0.0006180408984041708,0.004491814903911012,0.010402565666312091,0.3134086563853998,0.011043832320360825
625.0,0.04553028141228871,0.010683854285880423,0.022594697951282217,0.3035995669571774,0.0011383681160991033,0.0007888247555694061,0.004423925234850495,0.009733810355786549,0.30623814175614783,0.010288648150383273
637.5,0.04823543538337932,0.011565135821259453,0.019651219076091075,0.30600001787914255,0.0012843391312850894,0.0007924475184780122,0.004036741434906399,0.010071857194617895,0.3073603473546005,0.010553956158283972
641.0,0.049333081474367824,0.011871198730953825,0.02321638172527324,0.3101328986677143,0.0013573359533174956,0.0008270316817521328,0.004310400725614005,0.010426167732645014,0.31254678680193826,0.011024713310928247
650.0,0.05081951922951922,0.013333295618716434,0.020371763223477668,0.30509919273625263,0.0015168359830718403,0.000916785396777503,0.0042106495741571215,0.010820612738693391,0.3047131620648245,0.011144829312704718
