,left,right,dc_corr,dc_corr_err
0,0.0,0.20943951023931953,1.0,0.0
1,0.20943951023931953,0.41887902047863906,21.463404446372387,13.642761416785797
2,0.41887902047863906,0.6283185307179586,0.7328110584200274,0.08900454966812209
3,0.6283185307179586,0.8377580409572781,0.8721187327027989,0.036082954329562156
4,0.8377580409572781,1.0471975511965976,0.9527763741482458,0.02750801184059652
5,1.0471975511965976,1.2566370614359172,1.0157021945945528,0.025494731157976937
6,1.2566370614359172,1.4660765716752366,1.0208311709209719,0.024286228603499965
7,1.4660765716752366,1.6755160819145563,0.9960619759533289,0.02378016089728058
8,1.6755160819145563,1.8849555921538759,1.0338155346361722,0.02474214393212198
9,1.8849555921538759,2.0943951023931953,1.0076811338118536,0.025495085092465494
10,2.0943951023931953,2.3038346126325147,0.9514119455894087,0.02729587805159011
11,2.3038346126325147,2.5132741228718345,0.8907972394903994,0.03534151487592332
12,2.5132741228718345,2.722713633111154,1.2251779065154347,0.11056374099784315
13,2.722713633111154,2.9321531433504733,11.519026815510545,4.3041367087067615
14,2.9321531433504733,3.141592653589793,1.0,0.0
