,n_sig_exp,m_exp,sL_exp,sR_exp,aL_exp,aR_exp,y0_exp,dy_exp,n_sig_exp_err,m_exp_err,sL_exp_err,sR_exp_err,aL_exp_err,aR_exp_err,y0_exp_err,dy_exp_err,n_sig_mc,m_mc,sL_mc,sR_mc,aL_mc,aR_mc,n_sig_mc_err,m_mc_err,sL_mc_err,sR_mc_err,aL_mc_err,aR_mc_err,emeas,n_bkg_exp,n_bkg_exp_err
537.5,2176.003518605579,0.02427871357245781,3.0450411746463533,2.679630655361052,0.0874547791204566,0.14798696493006683,6.3492282542654266e-09,2.0382261434193083e-08,46.73937326115879,0.24784591024374825,0.16158631526235379,0.21415933727703695,0.0036713109789977966,0.007553103475694031,0.649839586314347,2.059327013024148,2272.913726788575,0.14487667867894238,2.881914141744688,2.845994175322142,0.08527857677079365,0.15249768386564888,47.6743229793924,0.22812029405575407,0.1566172297733397,0.21856007464291283,0.0036667947766075293,0.007933600438424504,537.4804077148438,9.92421538281718e-07,67.65256573263152
550.0,1518.8620052740514,0.4529815717473973,3.4964171095463015,2.7436281128018223,0.08032274136715821,0.16098084032150498,1.0582032672346031e-07,0.20440516459722735,48.668313471345755,0.20442694078190238,0.45251338067465974,0.22677057899975428,0.013996121608992024,0.010008626642055679,0.7565181736171702,0.8431546912740452,2102.043354516783,0.2174896041287946,3.137051277557052,3.0343880271463166,0.08843983404066169,0.15334325648113434,45.848137887910525,0.24719780459685659,0.1796829240088722,0.23904185972112546,0.00405854814874429,0.008916979480083909,549.3438720703125,6.132161287136424,40.86556490126122
562.5,722.3756451507646,0.057250411918672306,3.073266931815031,2.7342579755011687,0.08407227173858484,0.14668161734355772,0.0007035037612692641,0.284876863609961,32.351949988718445,0.26775449214957714,0.21782008784796902,0.68215039534982,0.01380745750705447,0.020024292552197842,0.4373806863023805,0.6317423329570215,2010.9896313918152,0.8064165175060971,3.233342556593743,2.356871745924412,0.0756464030119236,0.1616226602163523,44.84394404939894,0.22297755051625945,0.17174732233653778,0.18869373785231947,0.0042129350694603,0.007470521950481979,562.4998168945312,8.588516133974986,26.524175656853064
575.0,569.0001076905666,0.232873599385643,2.994563171945361,2.4946478164357697,0.07670756369588307,0.15013098957957946,0.0,0.0,23.853876652090776,0.39663664996777737,0.21732388787794865,0.30690414994370396,0.002690568997313847,0.011540392215433862,0.03915113061448883,0.19593249531353918,1872.9594740449656,0.4165152965479413,2.9279242747302345,2.4584670173308494,0.08466330900313068,0.14917677802435136,43.277229999439214,0.21906657483782732,0.1650305149509943,0.19313958878568593,0.003977872653623815,0.007441617375390508,574.861572265625,0.0,6.108162432263734
587.5,393.6244390427052,-0.3984365777552705,2.690844948809043,2.542657454784938,0.08701842457798478,0.1391800980478152,0.10111833329504938,0.8769909529886497,23.932895634843675,0.2929292318177721,0.6268120227832201,0.6273915079642427,0.015103407344802554,0.027718051791453382,0.17649352094793336,0.6356371512962133,1777.053555836398,0.5330465890113594,3.0046795128355743,2.2349311929111417,0.07884844174035455,0.15393310173798191,42.15574439534487,0.20227620566353544,0.15691728460437449,0.18433053690233647,0.004084991418824846,0.007376501845453021,587.731689453125,32.37682858736245,20.486606907515117
600.0,299.6363921245357,0.30554021678164656,3.067248492177859,1.9044381766138234,0.08539523918737676,0.16965042461293667,0.0892711364325991,4.540022237042862e-06,21.36987168064681,0.3863235139533683,0.27082755186541996,0.29297726563598936,0.015990201809539084,0.018136663208331655,0.14230558412078909,1.554861120043023,1661.878439361771,0.9462705327573033,3.101213974052909,1.886157615321443,0.07672158983049238,0.15520161385788545,40.76464726703682,0.2048596919501442,0.1675189240187902,0.17798679033410603,0.004336824745035939,0.007224405956228475,599.880859375,5.356404386623057,47.03493781274538
612.5,183.05017548778116,-0.4136781305917223,2.2432335233170133,2.5438329706243588,0.09219079918267929,0.1479752032630565,0.013030819206055755,1.1389186988403455,20.04629300157022,0.304072693640391,0.5936909073752064,0.7108067981160084,0.011482554940965888,0.02108629001875975,0.4879449797309443,0.7398642917113154,1612.057701162159,0.15386436339465437,2.557384258565153,2.1847042755101747,0.0841198306626112,0.1460151711127139,40.15115565839278,0.20633447453549758,0.1570753676246892,0.17956434755838813,0.004035484260309363,0.006970044405752718,612.5062255859375,34.949410117573706,30.35163585335846
625.0,211.04130144224726,0.6210067419191301,2.8198620416280846,1.7415873121107333,0.08636149182139641,0.13839348555565392,0.0,0.36532064086256866,19.65170535679475,0.527357142304322,0.5610938631697959,0.7452120235384208,0.008726055613490512,0.02761065490703976,0.21478637794663114,0.42550350869426956,1511.9824386123669,0.45505940735991146,2.686631139890889,2.1169022751448394,0.09007570373358142,0.1539112599933129,38.88398990088865,0.22952514773761612,0.17811789512124232,0.20056238902388834,0.0042500495332939425,0.007758887218838606,624.6171264648438,10.95961922587706,15.683993464440121
637.5,138.16092885095514,0.5919798703310768,2.921683014227326,1.789996828327413,0.0873112168048784,0.1360224774793756,0.0,0.4279699315246899,16.839677924624297,0.32220826413434933,0.423504167184626,0.6969468397445475,0.01608159759700227,0.017485349042496698,0.09391388175147197,0.4016307963226764,1422.0146826471635,0.2391983623987768,2.593587617537959,2.183413970348729,0.07839558023293614,0.144601544094769,37.7098043103673,0.2156628080099341,0.16404769834468347,0.19670857101077976,0.0044578182859714155,0.0076289459244546776,637.0411376953125,12.839097945740697,12.690635832512156
641.0,906.5323046440852,-0.3670444240343933,2.086197206465168,2.50413909227091,0.1002350231737951,0.12866820087892253,0.44881082547194673,1.0847531528871284,36.73813840893962,0.25355544717121026,0.6322494281413158,0.18916377730173473,0.010496671062523319,0.006748938261450926,0.38021446812985715,1.058192052886378,1385.9553515643177,0.05038694311649117,2.3986679777790356,2.349162338624343,0.09206193645836469,0.14397384456247497,37.22781875789565,0.2079060269101225,0.15868737976042047,0.19226726404990835,0.004086548605203855,0.0076528256518218485,640.9192504882812,59.471244114930656,35.60908386785856
650.0,112.00001058260155,-0.1509005704424009,2.2965434051553846,2.5634548639538246,0.08011467908798253,0.16812225460402053,0.0,0.0,10.583006867406851,0.34892323686515603,0.4964526968015508,0.7481600132065728,0.011875509016355243,0.018232638511308047,0.02096028127196503,0.09842013004879857,1344.9914843843665,0.638917667960623,2.6582777495562073,2.1437883933232365,0.08882546483946485,0.151839084625206,36.673957048841885,0.2415666633071316,0.18086717220041137,0.2098332353152963,0.00435539287574116,0.008141584989835027,649.9575805664062,0.0,3.0836131246866847
662.5,116.2453313023174,-0.1782108655633321,2.7517889893081837,2.7837551608448754,0.08464709720352538,0.16194365184828974,0.0,0.32512078229023156,15.293247607633475,0.44439347757595593,0.5183412183423808,0.8009164694040329,0.014028871361575275,0.01702470476543197,0.1374720513899822,0.35632556644586133,1277.001558802513,0.2285714369840397,2.4169862688588144,2.348915216802246,0.08954323108348206,0.14513819406485606,35.73517676214499,0.2287557290176152,0.16740136022468555,0.21741997351271558,0.0042973728033990355,0.008402728892319133,662.281982421875,9.753623468706946,12.177378010751468
675.0,112.00001151500432,0.7992052547619579,2.674498218110149,2.5735931390572393,0.07924714422557098,0.13969814651080245,0.0,2.220446049250313e-16,10.583062813304949,0.5006143175479387,0.554147639388022,0.8324252364697527,0.017256952344212977,0.021738727016756762,0.04913628471806741,0.6251069782964519,1209.0093309834945,0.5829805453046166,2.6426644572686575,2.151141938062933,0.08823818327842015,0.1444174601057885,34.770945171840594,0.2571859009099082,0.18810186145152663,0.2112256004973031,0.004495519526431235,0.008101160297721288,674.7904052734375,6.661338147750939e-15,18.868723723136117
687.5,95.21941816277736,0.03501100694485171,2.0749914131418663,1.920883109095135,0.07587869100053772,0.16382273044617923,0.07842203187008034,0.03588130655217703,12.407132929422467,0.32106230591050755,0.5191492679532292,0.7733783142828672,0.018322201025124503,0.022597927706749024,0.10651946906642429,0.8460399381922042,1157.042528704625,0.31338893437114734,2.4460907541066392,2.3683148198362076,0.08525309820794469,0.14658722322797857,34.015936688473175,0.2551740296950511,0.18554967094813857,0.22371585537053829,0.004687203603703505,0.008617753609100332,687.1151733398438,5.781761108770132,25.78039438094362
700.0,47.85677076560805,0.1544420908682227,2.212227713053824,1.8209865248027886,0.07436529026277228,0.1447180308280009,0.18571827087033177,2.156053113822054e-13,7.700717517083085,0.44606145892441873,0.6039772723362651,0.7903472986298962,0.018898816254017466,0.022391121510590112,0.07877923219282179,1.487500065629722,1213.9659690495166,0.346404111688253,2.5852451946622055,2.2429669566205277,0.0838455372209107,0.14678634517003297,34.84152455735307,0.2422655127418638,0.18650874080419078,0.21099021590886968,0.004740123479069214,0.008285849960526503,699.8643798828125,11.143096252226375,44.74999331942282
712.5,82.78165028846547,0.7418486809231704,2.9318350117147185,2.5742208990004656,0.09206632032570859,0.16164559207751542,0.07078844896348713,0.065703552508525,13.8485993618431,0.6920794685172282,0.6016600341319667,0.8384438454285797,0.010255754670642929,0.034079891715367405,0.16083752556212627,0.4152956619421341,1161.0332709384293,0.5602563001444762,2.68084742999277,2.1524196565404954,0.08652370399191978,0.1446021615442178,34.07441681741466,0.22629451380658017,0.17510042114552804,0.21090062122998687,0.004567616874149305,0.00852171526664891,712.59326171875,6.218413513064977,14.205179177935966
