,TF,CF,TC,effT,effC,effT_err,effC_err,eff_trig,eff_trig_err
537.5,493.0,26.0,1657,0.9839762611275964,0.7704460966542751,0.0030580561461892534,0.00906340643379265,0.9963216881956471,0.000716854115980581
550.0,341.0,15.0,1169,0.9865092748735245,0.7738095238095238,0.003348442716908705,0.010755602136128068,0.9969485264594877,0.0007711599009427598
562.5,188.0,11.0,532,0.9779816513761468,0.7382271468144044,0.006280025452534522,0.01634888580638569,0.9942361940582988,0.0016828908624937828
575.0,68.0,18.0,483,0.9622266401590457,0.8752260397830018,0.008492122064436926,0.014040003385684202,0.9952868683019425,0.0011849057131922529
587.5,37.0,14.0,375,0.9616368286445013,0.9082125603864735,0.009701072741941999,0.014172985124234696,0.9964787427258238,0.0010433166068530065
600.0,16.0,14.0,275,0.9484536082474226,0.9419795221843004,0.012939448185644874,0.01363445290502885,0.9970092537208403,0.0010283810023809933
612.5,16.0,7.0,195,0.9607843137254902,0.92018779342723,0.013557072895191426,0.018525332271512124,0.9968701095461658,0.001303282592992278
625.0,13.0,7.0,202,0.9620853080568721,0.9354838709677419,0.013117244892706438,0.016638878717816157,0.9975538908423789,0.0010555383554155967
637.5,9.0,5.0,136,0.958041958041958,0.9319727891156463,0.01670777527603113,0.02069722358055673,0.9971457114314257,0.0014303727786170366
641.0,74.0,48.0,844,0.9451901565995525,0.9184782608695652,0.007608120071642873,0.009016569689638015,0.9955318062445287,0.0007930398506067465
650.0,4.0,3.0,105,0.9636363636363636,0.954954954954955,0.017767599399323077,0.019597737880107186,0.9983619983619983,0.0010716392757644446
662.5,9.0,4.0,111,0.9572649572649573,0.9180327868852459,0.018619462857375195,0.024734129195601962,0.9964971276446686,0.0018564807728749817
675.0,12.0,2.0,98,0.9705882352941176,0.8839285714285714,0.016647899311423835,0.030132282403413906,0.9965861344537815,0.002125884916742256
687.5,7.0,3.0,91,0.9583333333333334,0.92,0.02028928810758958,0.026994682277942498,0.9966666666666667,0.001974770839589473
700.0,10.0,0.0,49,0.9803921568627451,0.819672131147541,0.019227072072373327,0.048826507965677564,0.9964641594342655,0.0035969288483689702
712.5,6.0,3.0,80,0.9529411764705882,0.9204545454545454,0.0228351755019052,0.02868229207587902,0.9962566844919786,0.002263022830435671
725.0,6.0,1.0,79,0.975609756097561,0.9195402298850575,0.016931954500021346,0.02899568845456932,0.9980375665825624,0.0015349664963876563
737.5,6.0,2.0,66,0.9571428571428572,0.9054054054054054,0.024036477022466318,0.03379279159191243,0.995945945945946,0.0026957875534531542
750.0,8.0,6.0,110,0.940677966101695,0.925,0.021654842102662497,0.02394466762011614,0.9955508474576271,0.002157640257208231
762.0,9.0,5.0,177,0.967391304347826,0.9468085106382979,0.013058158601211841,0.016323799423703086,0.9982654949121184,0.0008750922046413218
775.0,8.0,3.0,131,0.9705882352941176,0.9361702127659575,0.014435032609720889,0.020513744189541012,0.9981226533166458,0.001101351951818744
787.5,13.0,4.0,248,0.9803149606299213,0.9467680608365019,0.00869923111208179,0.013816752542467415,0.9989521271818209,0.0005370429952357556
800.0,21.0,6.0,299,0.9771986970684039,0.9316770186335404,0.008505422929424303,0.014038310208489472,0.9984421470046736,0.0006634413093971418
812.5,15.0,10.0,410,0.9739336492890995,0.9625292740046838,0.007747018960188993,0.00917975610623606,0.999023274914814,0.00037619468238751715
825.0,23.0,2.0,313,0.9905362776025236,0.9289940828402367,0.005429409883700048,0.013949347569151536,0.9993280197114218,0.0004074962742007655
837.5,4.0,4.0,147,0.9673202614379085,0.9673202614379085,0.014327290562688026,0.014327290562688026,0.9989320346875133,0.0006621519158762567
850.0,2.0,1.0,84,0.9770114942528736,0.9659090909090909,0.015975846239723448,0.019235009925506204,0.9992163009404389,0.0007015339401383166
862.5,6.0,2.0,36,0.925,0.8409090909090909,0.0411348170134694,0.054524406713474007,0.9880681818181818,0.007716790529579056
875.0,1.0,1.0,46,0.9591836734693877,0.9591836734693877,0.027982263675105822,0.027982263675105822,0.9983340274885464,0.0016152202773565185
887.5,2.0,0.0,15,0.9411764705882353,0.8421052631578947,0.05545935538717951,0.08153649149910422,0.9907120743034056,0.009984220121731878
900.0,0.0,1.0,11,0.8571428571428571,0.9230769230769231,0.09035079029052505,0.07121693075173346,0.989010989010989,0.012321140891898487
912.5,3.0,0.0,14,0.9375,0.7894736842105263,0.058708527289232544,0.09116056881941416,0.9868421052631579,0.013609696806196296
925.0,2.0,0.0,11,0.9230769230769231,0.8,0.07121693075173346,0.09999999999999949,0.9846153846153847,0.016187824024896717
936.0,1.0,0.0,30,0.96875,0.9393939393939394,0.03028823028734838,0.040920642721029646,0.9981060606060606,0.002237155566634635
945.0,1.0,1.0,33,0.9444444444444444,0.9444444444444444,0.03765746607803207,0.03765746607803207,0.9969135802469136,0.0029586499584532077
950.0,2.0,0.0,26,0.9642857142857143,0.9,0.034460760048356215,0.05388159060803167,0.9964285714285714,0.003946965159712697
951.1,0.0,0.0,35,0.972972972972973,0.972972972972973,0.026306176399580546,0.026306176399580546,0.9992695398100804,0.0010054743632017776
955.0,1.0,0.0,12,0.9285714285714286,0.8666666666666667,0.0664963811608046,0.0849836585598792,0.9904761904761905,0.010745105584810339
962.5,2.0,1.0,30,0.9393939393939394,0.9117647058823529,0.040920642721029646,0.04794336748099594,0.9946524064171123,0.004634609911337001
975.0,1.0,0.0,72,0.9864864864864865,0.9733333333333334,0.013332115844095984,0.01848027239615797,0.9996396396396396,0.00043446915124832326
978.0,0.0,1.0,7,0.8,0.8888888888888888,0.12060453783110492,0.0993807989999911,0.9777777777777777,0.023971550665359758
987.5,2.0,0.0,41,0.9767441860465116,0.9333333333333333,0.02272112606787187,0.03677848562449102,0.9984496124031008,0.0017395412957312449
