,TF,CF,TC,effT,effC,effT_err,effC_err,eff_trig,eff_trig_err
507.0,1618,15,524,0.9704251386321626,0.24486940298507462,0.007276838470347373,0.009284630969812897,0.9776671172786713,0.005501819982361111
508.0,4242,52,1275,0.9601203912716328,0.2312013045841638,0.0053655280616506165,0.0056745564428381644,0.9693406088359373,0.004131213721676019
509.0,8382,113,2377,0.9542536115569823,0.22098318000185857,0.004184553970549023,0.00399950766062766,0.9643627939487206,0.0032649684198540123
510.0,6404,72,1744,0.9598459845984598,0.21411042944785277,0.004603084180636344,0.004543538656400194,0.9684433780801392,0.0036221134383412354
511.0,3683,34,1004,0.9663461538461539,0.2143314139475368,0.005589311948910939,0.005992060470919876,0.9735592302770806,0.004395974516761024
512.0,1997,22,572,0.9614093959731543,0.22287047841306884,0.007883295456152363,0.008206113021845492,0.9700101023548667,0.006134520944802272
514.0,1092,17,252,0.933579335793358,0.18796433878157504,0.015098811743883129,0.0106448974963701,0.9460640520223924,0.012281143103852548
525.0,560,7,147,0.9487179487179487,0.20874471086036672,0.01760359736295387,0.015252354080516435,0.9594228056851469,0.013950883457067595
