,n_sig_exp,m_exp,sL_exp,sR_exp,aL_exp,aR_exp,y0_exp,dy_exp,n_sig_exp_err,m_exp_err,sL_exp_err,sR_exp_err,aL_exp_err,aR_exp_err,y0_exp_err,dy_exp_err,n_sig_mc,m_mc,sL_mc,sR_mc,aL_mc,aR_mc,n_sig_mc_err,m_mc_err,sL_mc_err,sR_mc_err,aL_mc_err,aR_mc_err,emeas,n_bkg_exp,n_bkg_exp_err
507.0,2145.3718082328755,-0.18841947307334106,2.6781883546255694,2.8729038547689933,0.08271187987539573,0.0780361764103914,2.395934561860713e-10,0.38703539345228233,52.7763844740939,0.1238345305716102,0.0939046887731827,0.46059230625546665,0.010066727915485733,0.01360491049521078,0.34842542288408196,0.6856103364864288,4150.956337089191,0.1455189950790956,2.919481288504758,3.1678374590993226,0.08804681603333919,0.08443453620923469,64.43043420649951,0.17525825659952865,0.12064648770615749,0.15352036174284445,0.002667468628109737,0.005603588130437542,507.5435485839844,11.611061817944076,25.329348110617516
508.0,5568.999984357447,-0.2838689909468588,2.7377053513455407,2.9167012801273904,0.08055454004906995,0.07216766880270753,4.218847493575595e-15,3.4945295546151556e-09,74.61343411887901,0.05124049427068167,0.015169742092702831,0.018949340651707836,0.0009774237364802915,0.002700337067107275,0.1620448303537183,1.1585292579211504,4251.6401931262435,0.13860825320497128,2.9640165167056196,3.201222068960608,0.08582716592280992,0.07748535796894385,65.20183926814843,0.15846880588927537,0.11315558268040493,0.14226039441675575,0.002636312936939167,0.005491673627597005,508.58599853515625,1.0483613976930428e-07,35.42931534750927
509.0,10872.000241733855,0.07181136831857504,2.869553029074797,2.598051673552768,0.07880446281467994,0.08260781879985803,8.612919464301427e-07,5.218674381524124e-10,105.62702798791543,0.03452263012306256,0.0062446500235247004,0.036743036920197536,0.0005817985165957745,0.0025216026313347323,0.9180270613071366,0.6103694666892084,4348.948461558632,0.3073944920275906,3.107201281674162,2.876612355831335,0.0841652684700811,0.0928684011680353,65.94488776181925,0.16447506048768235,0.11882412631119021,0.139280341190118,0.002680402828280082,0.005130291184088642,509.5442810058594,5.1693172808953136e-05,43.03822058131368
510.0,8220.002367570787,0.0992035689473667,2.8121247693939244,2.9541245680312356,0.08468665384498153,0.08506882779800765,1.8858550943079422e-08,1.0367129377186757e-09,83.28653467384947,0.513154938849417,0.4668022106375491,0.10714176210143656,0.008563757913027548,0.0011005129378488104,0.34666624751189656,0.5207754546080913,4293.985629279408,0.3311065849371344,3.046439911605707,3.016324594851388,0.08391654245590963,0.09613240201962414,65.52848335614408,0.16147708327636678,0.11755980377113273,0.1465928978756934,0.0027269415945310738,0.005531793316653488,510.6871643066406,1.1626144447163256e-06,21.457069781431034
512.0,2558.129034347794,-0.1763708781531479,2.69795870901699,4.828337342331226,0.08493435326995978,0.11262424552256328,3.445688179226636e-12,1.0956708390101504,58.93991333286681,0.1340097205259987,0.039717509063507794,0.2637601372951104,0.007618442615497718,0.02645268330978974,0.20815156645936128,0.9830600778328077,4558.064668140612,0.11828009686832885,2.964078447709295,4.533035592163205,0.09076782752021006,0.10043674330655505,67.51403318493749,0.19346065978636062,0.13305987029288135,0.2250722940286245,0.0029167371424793087,0.00876245180246732,512.7137451171875,32.87012517051125,30.785632026659062
514.0,1337.069583101,-0.3576084780438826,2.5714812592885585,3.1940398044194316,0.08907021640628669,0.3313882070266785,0.09583623759411397,0.6058577168732522,47.36181888165379,0.2635267823189862,0.16534053224567447,0.17815169763641725,0.011467659723862891,0.008745268669548834,0.24716043032566548,1.0267359284632982,4277.673319090632,-0.11671294430804835,2.7639822152317355,3.9686116455190725,0.09534737701956175,0.3007472970354208,65.40138536411996,0.22332725562876066,0.140008333999337,0.38728592054995525,0.0031385803089969966,0.015320454995632893,514.5463256835938,23.925905761844405,32.53808385709636
525.0,697.2183324836718,0.2023333501355058,2.9013380677867304,2.184262550573319,0.08805067380793793,0.18840998941686857,0.20722125628292587,0.14539316771858335,89.61988229758356,0.1756694160967185,0.5505855796447985,0.7376416558502734,0.011795077761100205,0.02606227696326116,0.43468922666591125,3.4706543426004117,2491.9240829099253,0.492652029048668,3.27058064162894,2.657425795813337,0.08986563736176567,0.18741146016639676,49.91808461016535,0.26671311155823973,0.18462135472970576,0.23658180461708267,0.003806196428198516,0.008533467771529857,525.3750610351562,16.795070408533054,105.74032301838746
