,rad,rad_err
525.0,0.9374765230549293,3.423926685835987e-05
550.0,0.9067890608232194,1.5144192793289995e-06
562.5,0.8967476160259701,8.94548300738454e-05
575.0,0.9140036167915602,1.3609674625728278e-05
587.5,0.9107726753831747,3.1220095130081074e-07
600.0,0.9207713120949929,7.248951444994273e-05
612.5,0.9132826333371495,5.608755549514829e-05
625.0,0.9081190924520162,7.017693983320874e-08
637.5,0.9310211074300231,5.5140433179520246e-05
650.0,0.92631782785217,4.175058342542421e-08
662.5,0.9140119922328669,7.066064513758949e-08
675.0,0.9209935527673784,1.6830590058728257e-08
687.5,0.9404946889981614,3.145972196326648e-05
700.0,0.9570122874259023,3.212242234478641e-06
712.5,0.9199267041891019,1.1740039723414761e-07
725.0,0.8992493515887592,5.814478393936972e-05
737.5,0.8736522384737664,6.778157922756983e-05
750.0,0.8659612084452046,3.197972105616247e-06
762.5,0.8582137173697292,3.53346537474923e-05
775.0,0.8597162974198745,1.1426040745303699e-05
787.5,0.8549137719412588,7.4718059253895e-06
800.0,0.861395929299277,3.174706474409471e-06
812.5,0.8778137088174064,1.7652477232296506e-06
825.0,0.9141279266877538,3.4932615679336155e-07
837.5,0.9838264794539517,2.180432336368295e-05
850.0,1.0775779264641903,9.424086246920873e-05
862.5,1.189701452380147,1.02353494056696e-06
875.0,1.2314624908692302,8.499664533229186e-06
887.5,1.2502346887878413,5.437100750063261e-05
900.0,1.1446126693364829,0.00010858347693921188
912.5,1.0675373422577028,5.345723569674245e-05
925.0,0.9920456445256726,6.552152333423471e-05
935.0,0.9420719398682312,4.622256089305831e-05
945.0,0.9316871184144848,6.483163187532645e-05
950.0,0.911248773164778,3.670857670522878e-05
962.5,0.9055232343962146,5.936779853254027e-08
975.0,0.8924021430862141,3.1887456887084797e-06
987.5,0.8962340791980886,6.040780235560423e-05
1000.0,0.892078843853485,3.402687338091189e-08
