ebeam,dccorr,dccorr_err
525.0,1.0490741139309372,0.0009720211616880985
550.0,1.0462743085087514,0.0014733963861568778
562.5,1.040389966651104,0.000956451129626181
575.0,1.0467135293497676,0.000996059977259105
587.5,1.043274958979901,0.0009430983443395355
600.0,1.0432745228852676,0.0009376458572628505
612.5,1.0430256660440413,0.0009741324511443106
625.0,1.0485759143473652,0.00099524619862664
637.5,1.0446217806335445,0.0009424937187741386
650.0,1.047064137425312,0.0014977845079767566
662.5,1.049913557724188,0.0009277748786653459
675.0,1.0534006376379303,0.0010181403750048894
687.5,1.047895002014285,0.000940673133145039
700.0,1.0565451135991197,0.0010034194026172947
712.5,1.0561878147940968,0.0010186442464747644
725.0,1.059720632274826,0.0010217954421102406
737.5,1.0566073041668083,0.0009603913914264893
750.0,1.057001575256992,0.0010423711554619442
762.5,1.0535807913821789,0.0009205389316990743
775.0,1.0558455232642905,0.0009414416793651197
787.5,1.0599066089631386,0.0009365531171827582
800.0,1.0553499443695404,0.0009548766738981553
812.5,1.0562420917601445,0.0009044930625824677
825.0,1.0554016896968408,0.0009297752605072788
837.5,1.0570318562090886,0.001514572862539315
850.0,1.057423182603319,0.0010145294645494054
862.5,1.0510236261407855,0.000993939271686036
875.0,1.0513164453424475,0.0010431615408598794
887.5,1.049391960197796,0.0011200381455991873
900.0,1.0461749110610172,0.0011164064968960802
912.5,1.038556963531896,0.0011813301248994313
925.0,1.0332196138187741,0.0011692105073728707
935.0,1.0388735146328223,0.0011910917000379222
945.0,1.0298420531175971,0.0011880072417090079
950.0,1.0342863501863158,0.0012125893569639072
962.5,1.0318585000516842,0.0012460565265966137
975.0,1.0235132248346215,0.0011597828657466812
987.5,1.030800828312277,0.001274964703699063
1000.0,1.025026786954677,0.0011845264560395275
