,TF,CF,TC,effT,effC,effT_err,effC_err,eff_trig,eff_trig_err
525.0,391,462.0,181.0,0.28217054263565894,0.3170731707317073,0.01770721318032692,0.019405860841905376,0.5097750047267915,0.018446728374389713
550.0,261,75.0,112.0,0.5978835978835979,0.30133333333333334,0.03557192870681829,0.02366272067793092,0.7190546737213404,0.02661214194936717
562.5,268,13.0,175.0,0.9263157894736842,0.3955056179775281,0.01890384149516713,0.023152880678006135,0.955458308693081,0.011553910582618544
575.0,114,29.0,48.0,0.620253164556962,0.29878048780487804,0.05426084873253858,0.03563371810705543,0.7337141092929917,0.04038338731699186
587.5,117,6.0,84.0,0.9239130434782609,0.4187192118226601,0.02749344625112365,0.03454135298516036,0.9557721139430285,0.01619607009553361
600.0,52,31.0,27.0,0.4666666666666667,0.345679012345679,0.0638760183440544,0.05252003482637238,0.6510288065843621,0.050313572436658106
612.5,82,5.0,49.0,0.8928571428571429,0.37593984962406013,0.04096709533402872,0.041842729631920476,0.9331364124597208,0.02595602998838525
625.0,41,5.0,12.0,0.6842105263157895,0.23636363636363636,0.10393904030595535,0.056772709076349084,0.7588516746411483,0.08137122946973956
637.5,67,0.0,26.0,0.9642857142857143,0.28421052631578947,0.034460760048356215,0.04603383074877869,0.9744360902255639,0.02472137816881785
650.0,38,5.0,15.0,0.7272727272727273,0.2909090909090909,0.09286434881004525,0.060692578937911364,0.806611570247934,0.06789780363499179
662.5,28,1.0,22.0,0.92,0.4423076923076923,0.0532049737408927,0.06822155881697269,0.9553846153846154,0.03016976325937822
675.0,32,3.0,20.0,0.84,0.3888888888888889,0.07189736274183446,0.06573421981221793,0.9022222222222221,0.04517855259340439
687.5,5,0.0,5.0,0.8571428571428571,0.5,0.12371791482634867,0.13867504905630723,0.9285714285714286,0.06495379350295008
700.0,18,2.0,13.0,0.8235294117647058,0.42424242424242425,0.08985442539129125,0.08475931142936699,0.8983957219251337,0.05385324697542426
712.5,22,0.0,16.0,0.9444444444444444,0.425,0.05255029460705136,0.07720340571282173,0.9680555555555556,0.03051930851454391
725.0,14,1.0,14.0,0.8823529411764706,0.5,0.07594084992563596,0.08980265101338741,0.9411764705882353,0.03941285034425728
737.5,26,1.0,10.0,0.8461538461538461,0.2894736842105263,0.09642818008123202,0.07262101665851053,0.8906882591093117,0.06941971065728267
750.0,34,2.0,32.0,0.9166666666666666,0.4852941176470588,0.04543747973385759,0.060166885907211004,0.9571078431372548,0.02391836404548922
762.5,46,0.0,26.0,0.9642857142857143,0.36486486486486486,0.034460760048356215,0.055586388651900374,0.9773166023166023,0.021977087690860812
775.0,37,3.0,44.0,0.9183673469387755,0.5421686746987951,0.0387217672673677,0.05436010911309443,0.9626260142611262,0.018274990297211705
787.5,57,2.0,59.0,0.9523809523809523,0.5084745762711864,0.02661985687499864,0.04582834079264683,0.976594027441485,0.013265078272814495
800.0,56,7.0,55.0,0.875,0.49557522123893805,0.041020632707118955,0.04682745683300156,0.9369469026548672,0.0215038189719331
812.5,48,1.0,62.0,0.9692307692307692,0.5625,0.021256900914084973,0.04666712757884475,0.9865384615384616,0.00941009422767563
825.0,45,4.0,32.0,0.868421052631579,0.4177215189873418,0.05412850994785775,0.055139624087656984,0.9233844103930713,0.032342140277900215
837.5,54,2.0,49.0,0.9433962264150944,0.47619047619047616,0.03144654088050472,0.048509200311565595,0.9703504043126685,0.01669928571911081
850.0,20,2.0,27.0,0.9032258064516129,0.5714285714285714,0.05226403789038725,0.06998542122237694,0.9585253456221198,0.023400429787757346
862.5,21,1.0,12.0,0.8666666666666667,0.37142857142857144,0.0849836585598792,0.08053111678708456,0.9161904761904762,0.054486771459192944
875.0,14,0.0,13.0,0.9333333333333333,0.4827586206896552,0.06236095644623189,0.0912328038298132,0.9655172413793104,0.0328240926696403
887.5,2,0.0,1.0,0.6666666666666666,0.4,0.2357022603955159,0.19999999999999987,0.8,0.15634719199411434
900.0,6,0.0,4.0,0.8333333333333334,0.4166666666666667,0.1408590424547525,0.13673544235706112,0.9027777777777778,0.08526952965484991
912.5,4,0.0,6.0,0.875,0.5833333333333334,0.11023963796102466,0.13673544235706092,0.9479166666666666,0.049010114612016584
925.0,5,0.0,4.0,0.8333333333333334,0.45454545454545453,0.1408590424547525,0.1437398936440173,0.9090909090909092,0.08048048676440768
935.0,4,1.0,5.0,0.75,0.5454545454545454,0.14433756729740657,0.1437398936440174,0.8863636363636364,0.07480461234140727
945.0,5,0.0,5.0,0.8571428571428571,0.5,0.12371791482634867,0.13867504905630723,0.9285714285714286,0.06495379350295008
950.0,5,0.0,5.0,0.8571428571428571,0.5,0.12371791482634867,0.13867504905630723,0.9285714285714286,0.06495379350295008
962.5,7,0.0,3.0,0.8,0.3333333333333333,0.16329931618554472,0.13074409009212276,0.8666666666666667,0.1119625497012839
975.0,10,0.0,10.0,0.9166666666666666,0.5,0.07665551758398391,0.10425720702853734,0.9583333333333333,0.03930012959017509
987.5,10,2.0,0.0,0.25,0.08333333333333333,0.19364916731037085,0.07665551758398333,0.3125,0.18658967047563252
1000.0,8,0.0,5.0,0.8571428571428571,0.4,0.12371791482634867,0.12247448713915873,0.9142857142857143,0.07626484465736667
