,mu,s,c,N,mu_err,s_err,c_err,N_err,eff0,eff0_err
525.0,0.016256918254003327,0.002210924543213033,0.04962710306978896,0.25601519514727283,0.0002226412773072839,0.00019092924918279186,0.012914279596746653,0.006781745083010021,0.2685565712973712,0.01040101574394342
537.5,0.02059206277360437,0.0034990206313395,0.024715556367680303,0.29555725897699237,0.000371223105439189,0.0002826574346356525,0.008232903411731274,0.008373944299068292,0.30204257725193256,0.01071796235289496
550.0,0.025773187752399396,0.0036166552674707364,0.028782390395239665,0.2799534793339969,0.00035256908019967725,0.0002827384083287088,0.00568563322244553,0.006431040712280345,0.28778638388027544,0.008117147528076685
562.5,0.029093442295331395,0.004883154866761497,0.019495483402934943,0.30687554563862834,0.00045698894221637976,0.0002935114784558823,0.004528568508006453,0.007119454356949162,0.31206691754363425,0.008433121572391677
575.0,0.032658490493302494,0.0062018078165876345,0.02432526799711998,0.3013185057393657,0.0006763009067737025,0.00045620524311287824,0.005009391169307875,0.008534736510836916,0.30710001987713054,0.00978265211411744
587.5,0.03606586165848985,0.00708253007299714,0.020173296260467155,0.3233194249554401,0.0007260613316644737,0.00048026251934912834,0.0042103589698547494,0.008753499286289323,0.32786739971862305,0.009761030405878057
600.0,0.040341424080015065,0.008150004565466606,0.02312896287548516,0.3055137622102968,0.0008241785695563275,0.0005507186388163388,0.0045992211930570015,0.008498877943993816,0.3104308333797101,0.009544930938771456
612.5,0.042902301147250244,0.010202589014612184,0.017838365941019008,0.32489894784381423,0.0010932581800706942,0.0006580929823597481,0.004267005710536703,0.01019660319774035,0.32591832641759116,0.01085153440632547
625.0,0.04377063163637945,0.011775239652483616,0.018510228580480015,0.3280919581752547,0.0014690252679417093,0.0008462770135552466,0.004420972827777647,0.012573556736001135,0.32638073324418165,0.0128967211271388
637.5,0.0483021898318971,0.010206858824880538,0.023738300350999275,0.31239526384225447,0.0012173591426216657,0.0007168381379846489,0.003902593812369154,0.00981283468013397,0.31708406977114006,0.010604515155997363
650.0,0.050384675880482455,0.012805027726702778,0.02303571613399874,0.32831378159515223,0.0013907074671398456,0.0008808434875325621,0.004095190259401832,0.010928599634054847,0.3295811261126949,0.01131864896779261
662.5,0.05382023171550038,0.014096599964233625,0.021023443646827622,0.3329704688714248,0.001594131553235012,0.001009728344900096,0.0039312513143266725,0.01161312960348626,0.3328117232070003,0.011795872835164534
