,mu,s,c,N,mu_err,s_err,c_err,N_err,eff0,eff0_err
525.0,0.01629190223893684,0.0022162115660233628,0.05429782942683431,0.24974728827578402,0.00022851832559597773,0.00019505049949419817,0.013660452629669695,0.006796439498790302,0.2631478398562274,0.010559018042419321
537.5,0.020513499529478285,0.0035361092002699768,0.024271640395176486,0.2919658043030199,0.00037745578472575536,0.00028595535239614445,0.008335995428597753,0.008409265242464131,0.29817202870320225,0.010732741685221425
550.0,0.02594367639274875,0.003657425796281033,0.029621211260101366,0.2724002526962733,0.0003623365358274011,0.00029450302986394616,0.005993819424583879,0.00642425781062142,0.2802430244798288,0.008153822221640683
562.5,0.029130195497115707,0.004915062052992192,0.020549087774020314,0.29538339328772134,0.00047408474682866797,0.00030660170301810563,0.004749661261216315,0.0070995431873087655,0.3006674968222438,0.00842803604601794
575.0,0.03307976278887048,0.0058708684251680965,0.027105269872956472,0.28724939805455557,0.0006317387006854192,0.00044242619678067086,0.005132888774103839,0.007841376320766813,0.29401289717369294,0.009182266742048195
587.5,0.036187592774273414,0.006996348798275487,0.021734545275482076,0.31150990576739246,0.0007299936737373003,0.00048536160844242504,0.004375331920124237,0.008539556200859583,0.31652375845302305,0.009595870086582803
600.0,0.040618932829329435,0.008181468942578318,0.024031234881949748,0.2901770724645335,0.000854390529142629,0.0005652953025190033,0.004852063093426062,0.008339837176023629,0.2951390729068721,0.009417955229919672
612.5,0.04330209447940919,0.010211492330052252,0.01892259565810861,0.31263476243480204,0.0011043321324502309,0.0006730374730849475,0.004470612817206343,0.009923206357016712,0.31411258421728144,0.010626897104716815
625.0,0.043598599096004886,0.01203927525198717,0.018174372275521378,0.32190421606529596,0.0015188804403489797,0.0008786522339037928,0.004561414978428879,0.012747808146688105,0.31936919709816886,0.013011541219457412
637.5,0.04917522860535062,0.0101151526914246,0.025411603971057517,0.293341759724046,0.0012432388375032688,0.0007317949183631989,0.0041620606196238474,0.009380245346173072,0.29854343630794156,0.01025887562265504
